job_title,company,country,city,salary_min,salary_max,currency,remote_type,experience_level,required_skills,posted_date,source,job_description,salary_avg,description_length,salary_missing,skills_missing,company_missing,posted_date_missing,description_truncated,city_is_invalid,remote_type_clean,experience_level_clean,text_for_analysis,salary_band,seniority_score,job_category,is_remote,is_hybrid,is_onsite,has_original_skills,original_skills_list,inferred_skills_existing_data,skills_source,similarity_text,inferred_skills_knn,knn_similarity,llm_skills
Frontend/AI Engineer,Jobot,United States,New York City,112000.0,112000.0,USD,Unspecified,Mid-level,,2026-02-16,Adzuna,"Manufacturing Company looking for Business System Analyst This Jobot Job is hosted by: John Erwin Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $100,000 - $140,000 per year A bit about us: We are a Manufacturer of Electronic Components Why join us? Generous Compensation Great Benefits (Medical, Vision, Dental) Career Growth PTO Sick Pay Holidays Paid Job Details Job Details: We are seeking a dynamic and experienced Business System Analyst to jo…",112000.0,500,False,True,False,False,True,False,Unspecified,Mid-level,"Frontend/AI Engineer Manufacturing Company looking for Business System Analyst This Jobot Job is hosted by: John Erwin Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $100,000 - $140,000 per year A bit about us: We are a Manufacturer of Electronic Components Why join us? Generous Compensation Great Benefits (Medical, Vision, Dental) Career Growth PTO Sick Pay Holidays Paid Job Details Job Details: We are seeking a dynamic and experienced Business System Analyst to jo…",High,2,AI Engineer,False,False,False,False,[],"['python', 'rag', 'azure', 'nlp', 'openai']",inferred_from_category,"Frontend/AI Engineer Manufacturing Company looking for Business System Analyst This Jobot Job is hosted by: John Erwin Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $100,000 - $140,000 per year A bit about us: We are a Manufacturer of Electronic Components Why join us? Generous Compensation Great Benefits (Medical, Vision, Dental) Career Growth PTO Sick Pay Holidays Paid Job Details Job Details: We are seeking a dynamic and experienced Business System Analyst to jo…","['python', 'sql', 'nlp', 'rag']",0.2069185664243255,"['python', 'sql']"
AI Engineering Lead,Jobot,United States,Irvine,92000.0,92000.0,USD,Unspecified,Senior,,2026-02-16,Adzuna,"Lead Financial Insights and Reporting as a Senior Accountant in a Dynamic Energy-Focused Environment This Jobot Job is hosted by: Emily Klopfenstein Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $80,000 - $110,000 per year A bit about us: Ready to bring your accounting expertise to a fast-paced team that's redefining energy solutions for communities? Our client is a mission-driven organization delivering sustainable, customized energy solutions…",92000.0,500,False,True,False,False,True,False,Unspecified,Senior,"AI Engineering Lead Lead Financial Insights and Reporting as a Senior Accountant in a Dynamic Energy-Focused Environment This Jobot Job is hosted by: Emily Klopfenstein Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $80,000 - $110,000 per year A bit about us: Ready to bring your accounting expertise to a fast-paced team that's redefining energy solutions for communities? Our client is a mission-driven organization delivering sustainable, customized energy solutions…",Medium,3,AI Engineer,False,False,False,False,[],"['python', 'rag', 'azure', 'nlp', 'openai']",inferred_from_category,"AI Engineering Lead Lead Financial Insights and Reporting as a Senior Accountant in a Dynamic Energy-Focused Environment This Jobot Job is hosted by: Emily Klopfenstein Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $80,000 - $110,000 per year A bit about us: Ready to bring your accounting expertise to a fast-paced team that's redefining energy solutions for communities? Our client is a mission-driven organization delivering sustainable, customized energy solutions…","['rag', 'computer vision', 'aws']",0.23330159910275294,[]
Applied AI Engineer,CXG Holdings Inc,United States,Smithtown,75000.0,75000.0,USD,Hybrid,Mid-level,,2026-02-05,Adzuna,"Job Description Job Description Applied AI Engineer (Exploratory / Early Hire) Company: CXG Location: Smithtown, NY (Local / Hybrid preferred) Type: Full-time or Contract (open to discussion) Compensation: Flexible, based on scope and experience About CXG CXG builds and operates broker-dealers registered with FINRA and the SEC. We help financial firms launch faster, stay compliant, and operate efficiently in a highly regulated environment. We are exploring how AI can be responsibly integrated i…",75000.0,500,False,True,False,False,True,False,Hybrid,Mid-level,"Applied AI Engineer Job Description Job Description Applied AI Engineer (Exploratory / Early Hire) Company: CXG Location: Smithtown, NY (Local / Hybrid preferred) Type: Full-time or Contract (open to discussion) Compensation: Flexible, based on scope and experience About CXG CXG builds and operates broker-dealers registered with FINRA and the SEC. We help financial firms launch faster, stay compliant, and operate efficiently in a highly regulated environment. We are exploring how AI can be responsibly integrated i…",Low,2,AI Engineer,False,True,False,False,[],"['python', 'rag', 'azure', 'nlp', 'openai']",inferred_from_category,"Applied AI Engineer Job Description Job Description Applied AI Engineer (Exploratory / Early Hire) Company: CXG Location: Smithtown, NY (Local / Hybrid preferred) Type: Full-time or Contract (open to discussion) Compensation: Flexible, based on scope and experience About CXG CXG builds and operates broker-dealers registered with FINRA and the SEC. We help financial firms launch faster, stay compliant, and operate efficiently in a highly regulated environment. We are exploring how AI can be responsibly integrated i…","['aws', 'nlp', 'computer vision', 'rag', 'fine-tuning']",0.16872992571204803,"['nlp', 'computer vision']"
Machine Learning AI Engineer,Jobot,United States,Acton,100000.0,100000.0,USD,Unspecified,Mid-level,,2026-02-16,Adzuna,"New Healthcare Finance Organization is Looking to hire Medicaid Enrollment Specialists to Work with Local Upper Manhattan Hospital! This Jobot Job is hosted by: Joshua Tacke Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $65,000 - $65,000 per year A bit about us: We are a new, dynamic, private equity backed healthcare organization dedicated to providing high-quality care to our community. The Patient Advocate / Enrollment Specialist is responsib…",100000.0,500,False,True,False,False,True,False,Unspecified,Mid-level,"Machine Learning AI Engineer New Healthcare Finance Organization is Looking to hire Medicaid Enrollment Specialists to Work with Local Upper Manhattan Hospital! This Jobot Job is hosted by: Joshua Tacke Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $65,000 - $65,000 per year A bit about us: We are a new, dynamic, private equity backed healthcare organization dedicated to providing high-quality care to our community. The Patient Advocate / Enrollment Specialist is responsib…",Medium,2,Machine Learning Engineer,False,False,False,False,[],"['computer vision', 'nlp', 'python', 'aws', 'rag']",inferred_from_category,"Machine Learning AI Engineer New Healthcare Finance Organization is Looking to hire Medicaid Enrollment Specialists to Work with Local Upper Manhattan Hospital! This Jobot Job is hosted by: Joshua Tacke Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $65,000 - $65,000 per year A bit about us: We are a new, dynamic, private equity backed healthcare organization dedicated to providing high-quality care to our community. The Patient Advocate / Enrollment Specialist is responsib…","['fine-tuning', 'rag', 'r', 'aws']",0.2154408406257622,[]
Machine Learning AI Engineer,Jobot,United States,Santa Monica,107000.0,107000.0,USD,Unspecified,Mid-level,,2026-02-16,Adzuna,"Excellent 1st shift opportunity! This Jobot Job is hosted by: Craig Rosecrans Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $25 - $36 per hour A bit about us: We are seeking a skilled Maintenance Technician with a background in Paper Mill Machinery to join our dynamic team in the Manufacturing industry. As a Maintenance Technician, you will be an integral part of our operations, ensuring that our machinery is maintained and serviced to the high…",107000.0,500,False,True,False,False,True,False,Unspecified,Mid-level,"Machine Learning AI Engineer Excellent 1st shift opportunity! This Jobot Job is hosted by: Craig Rosecrans Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $25 - $36 per hour A bit about us: We are seeking a skilled Maintenance Technician with a background in Paper Mill Machinery to join our dynamic team in the Manufacturing industry. As a Maintenance Technician, you will be an integral part of our operations, ensuring that our machinery is maintained and serviced to the high…",High,2,Machine Learning Engineer,False,False,False,False,[],"['computer vision', 'nlp', 'python', 'aws', 'rag']",inferred_from_category,"Machine Learning AI Engineer Excellent 1st shift opportunity! This Jobot Job is hosted by: Craig Rosecrans Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $25 - $36 per hour A bit about us: We are seeking a skilled Maintenance Technician with a background in Paper Mill Machinery to join our dynamic team in the Manufacturing industry. As a Maintenance Technician, you will be an integral part of our operations, ensuring that our machinery is maintained and serviced to the high…","['computer vision', 'azure', 'rag', 'python', 'r']",0.16971432142217113,"['azure', 'python', 'r', 'sql']"
Staff AI Research Engineer,Lockheed Martin,United States,Nebraska,100000.0,100000.0,USD,Unspecified,Lead,,2026-01-14,Adzuna,"Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world's hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …",100000.0,500,False,True,False,False,True,False,Unspecified,Lead,"Staff AI Research Engineer Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world's hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …",Medium,4,Research,False,False,False,False,[],"['computer vision', 'python', 'r', 'nlp', 'transformers']",inferred_from_category,"Staff AI Research Engineer Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world's hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …","['kubernetes', 'gcp', 'computer vision', 'aws', 'azure']",0.17302798145819442,"['kubernetes', 'gcp', 'aws']"
Staff AI Research Engineer,Lockheed Martin,United States,Offutt Air Force Base,106000.0,106000.0,USD,Unspecified,Lead,,2026-02-20,Adzuna,"Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world‘s hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …",106000.0,500,False,True,False,False,True,False,Unspecified,Lead,"Staff AI Research Engineer Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world‘s hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …",High,4,Research,False,False,False,False,[],"['computer vision', 'python', 'r', 'nlp', 'transformers']",inferred_from_category,"Staff AI Research Engineer Job ID: 695377BR Date posted: Jan. 13, 2026 Description: Who We Are: Lockheed Martin RMS provides mission software for the United States Strategic Command (USSTRATCOM) Nuclear Deterrence Mission. Our amazing men and women are on a mission to make a difference in the world and keep our nation safe. We use our unique skills and experiences every day to create, design and build solutions to some of the world‘s hardest engineering problems. Lockheed Martin RMS at Offutt Air Force Base in Bellevue, …","['kubernetes', 'gcp', 'computer vision', 'aws', 'azure']",0.17302798145819442,"['kubernetes', 'gcp', 'aws']"
Senior AI Engineers,"American Express Travel Related Services Company, Inc.",United States,Arizona,158000.0,158000.0,USD,Unspecified,Senior,,2026-02-13,Adzuna,"American Express Travel Related Services Company, Inc. seeks Senior AI Engineers to serve as a core member of an engineering team to develop digital and automated solutions for our customers. Develop and design software applications, translating user needs into systems architecture. Assess and validate application performance and integration of component systems and provide process flow diagrams. Test the engineering resilience of software and automation tools. Assess and incorporate user story…",158000.0,500,False,True,False,False,True,False,Unspecified,Senior,"Senior AI Engineers American Express Travel Related Services Company, Inc. seeks Senior AI Engineers to serve as a core member of an engineering team to develop digital and automated solutions for our customers. Develop and design software applications, translating user needs into systems architecture. Assess and validate application performance and integration of component systems and provide process flow diagrams. Test the engineering resilience of software and automation tools. Assess and incorporate user story…",Very High,3,AI Engineer,False,False,False,False,[],"['python', 'rag', 'azure', 'nlp', 'openai']",inferred_from_category,"Senior AI Engineers American Express Travel Related Services Company, Inc. seeks Senior AI Engineers to serve as a core member of an engineering team to develop digital and automated solutions for our customers. Develop and design software applications, translating user needs into systems architecture. Assess and validate application performance and integration of component systems and provide process flow diagrams. Test the engineering resilience of software and automation tools. Assess and incorporate user story…","['azure', 'aws', 'python', 'computer vision', 'kubernetes']",0.15809442951498232,"['azure', 'aws', 'python', 'computer vision']"
Senior AI/ML Engineer with Poly,Lockheed Martin,United States,Savage,192000.0,192000.0,USD,Unspecified,Senior,,2026-02-10,Adzuna,"Job ID: 705786BR Date posted: Jan. 06, 2026 Description: THE WORK The Artificial Intelligence/Machine Learning (AI/ML) Engineer designs, creates, tests, and productizes AI/ML algorithms to solve business challenges. The AI/ML models they create should be capable of learning and making predictions as defined by the business logic developed to meet customer requirements. The AI/ML Engineer should be proficient in all aspects of model architecture, data pipeline interaction, and metrics applicatio…",192000.0,500,False,True,False,False,True,False,Unspecified,Senior,"Senior AI/ML Engineer with Poly Job ID: 705786BR Date posted: Jan. 06, 2026 Description: THE WORK The Artificial Intelligence/Machine Learning (AI/ML) Engineer designs, creates, tests, and productizes AI/ML algorithms to solve business challenges. The AI/ML models they create should be capable of learning and making predictions as defined by the business logic developed to meet customer requirements. The AI/ML Engineer should be proficient in all aspects of model architecture, data pipeline interaction, and metrics applicatio…",Very High,3,Other,False,False,False,False,[],"['python', 'azure', 'nlp', 'openai', 'rag']",inferred_from_category,"Senior AI/ML Engineer with Poly Job ID: 705786BR Date posted: Jan. 06, 2026 Description: THE WORK The Artificial Intelligence/Machine Learning (AI/ML) Engineer designs, creates, tests, and productizes AI/ML algorithms to solve business challenges. The AI/ML models they create should be capable of learning and making predictions as defined by the business logic developed to meet customer requirements. The AI/ML Engineer should be proficient in all aspects of model architecture, data pipeline interaction, and metrics applicatio…","['nlp', 'aws', 'azure', 'fine-tuning', 'python']",0.23129942046939145,"['nlp', 'python']"
AI Engineer,Koniag Government Services,United States,"Washington, D.C.",96000.0,96000.0,USD,Unspecified,Mid-level,,2026-02-04,Adzuna,"Koniag Management Solutions, LLC a Koniag Government Services company, is seeking an AI Engineer to support KMS and our government customer at Washington, DC. This position requires the candidate to be able to obtain a Public Trust. This position is for a Future New Business Opportunity. We offer competitive compensation and an extraordinary benefits package including health, dental and vision insurance, 401K with company matching, flexible spending accounts, paid holidays, three weeks paid tim…",96000.0,500,False,True,False,False,True,False,Unspecified,Mid-level,"AI Engineer Koniag Management Solutions, LLC a Koniag Government Services company, is seeking an AI Engineer to support KMS and our government customer at Washington, DC. This position requires the candidate to be able to obtain a Public Trust. This position is for a Future New Business Opportunity. We offer competitive compensation and an extraordinary benefits package including health, dental and vision insurance, 401K with company matching, flexible spending accounts, paid holidays, three weeks paid tim…",Medium,2,AI Engineer,False,False,False,False,[],"['python', 'rag', 'azure', 'nlp', 'openai']",inferred_from_category,"AI Engineer Koniag Management Solutions, LLC a Koniag Government Services company, is seeking an AI Engineer to support KMS and our government customer at Washington, DC. This position requires the candidate to be able to obtain a Public Trust. This position is for a Future New Business Opportunity. We offer competitive compensation and an extraordinary benefits package including health, dental and vision insurance, 401K with company matching, flexible spending accounts, paid holidays, three weeks paid tim…","['python', 'nlp', 'kubernetes', 'r', 'sql']",0.15467192411001152,"['python', 'nlp', 'kubernetes', 'r', 'pytorch', 'tensorflow']"
