job_title,normalized_title,esco_occupation,company,country,city,remote_type,experience_level,source,salary_min,salary_max,salary_avg,currency,posted_date,job_description,description_truncated,original_skills_list,completed_skills_list,llm_validated_skills_list,llm_removed_skills_list,recommended_skills_list,recommended_skills,skill_inference_method,recommended_skill_source,llm_status,llm_keep_rate,has_recommended_skills,n_recommended_skills,n_original_skills,posted_month,has_salary,has_original_skills,remote_type_clean,experience_level_clean
AI Engineer,AI Engineer,artificial intelligence engineer,Jobot,United States,Mount Carmel,Unspecified,Lead,Adzuna,160000.0,160000.0,160000.0,USD,2026-02-16,"RAG - Vector Databases - Cloud - AI/ML This Jobot Job is hosted by: Chuck Wirtz Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $175,000 - $200,000 per year A bit about us: We are a rapidly-growing and well-funded women-lead AI start-up that innovates our client's projects from concept to delivery. Why join us? We work with highly recognizable enterprise clients to deliver a fully customized solution. Our technology solution is best-in-class and …",True,['rag'],['rag'],[],[],['rag'],rag,original,original,not_validated,0.0,True,1,1,2026-02,True,True,Unspecified,Lead
AI Engineer,AI Engineer,artificial intelligence engineer,Jobot,United States,The Gap,Unspecified,Lead,Adzuna,175000.0,175000.0,175000.0,USD,2026-02-16,"RAG - Vector Databases - Cloud - AI/ML This Jobot Job is hosted by: Chuck Wirtz Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $175,000 - $200,000 per year A bit about us: We are a rapidly-growing and well-funded women-lead AI start-up that innovates our client's projects from concept to delivery. Why join us? We work with highly recognizable enterprise clients to deliver a fully customized solution. Our technology solution is best-in-class and …",True,['rag'],['rag'],[],[],['rag'],rag,original,original,not_validated,0.0,True,1,1,2026-02,True,True,Unspecified,Lead
AI Engineer,AI Engineer,artificial intelligence engineer,Jobot,United States,Nashville,Unspecified,Lead,Adzuna,218000.0,218000.0,218000.0,USD,2026-02-16,"RAG - Vector Databases - Cloud - AI/ML This Jobot Job is hosted by: Chuck Wirtz Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $175,000 - $200,000 per year A bit about us: We are a rapidly-growing and well-funded women-lead AI start-up that innovates our client's projects from concept to delivery. Why join us? We work with highly recognizable enterprise clients to deliver a fully customized solution. Our technology solution is best-in-class and …",True,['rag'],['rag'],[],[],['rag'],rag,original,original,not_validated,0.0,True,1,1,2026-02,True,True,Unspecified,Lead
Frontend/AI Engineer,AI Engineer,artificial intelligence engineer,Jobot,United States,New York City,Unspecified,Mid-level,Adzuna,112000.0,112000.0,112000.0,USD,2026-02-16,"Manufacturing Company looking for Business System Analyst This Jobot Job is hosted by: John Erwin Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $100,000 - $140,000 per year A bit about us: We are a Manufacturer of Electronic Components Why join us? Generous Compensation Great Benefits (Medical, Vision, Dental) Career Growth PTO Sick Pay Holidays Paid Job Details Job Details: We are seeking a dynamic and experienced Business System Analyst to jo…",True,[],"['rag', 'aws', 'azure', 'computer vision', 'gcp', 'hadoop', 'nlp', 'python']","['aws', 'azure', 'computer vision', 'nlp', 'python']","['gcp', 'hadoop', 'rag']","['aws', 'azure', 'computer vision', 'nlp', 'python']","aws, azure, computer vision, nlp, python",knn_inference,llm_validated_with_rescue,ok,0.625,True,5,0,2026-02,True,False,Unspecified,Mid-level
AI Engineering Lead,AI Engineer,artificial intelligence engineer,Jobot,United States,Irvine,Unspecified,Senior,Adzuna,92000.0,92000.0,92000.0,USD,2026-02-16,"Lead Financial Insights and Reporting as a Senior Accountant in a Dynamic Energy-Focused Environment This Jobot Job is hosted by: Emily Klopfenstein Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $80,000 - $110,000 per year A bit about us: Ready to bring your accounting expertise to a fast-paced team that's redefining energy solutions for communities? Our client is a mission-driven organization delivering sustainable, customized energy solutions…",True,[],"['rag', 'fine-tuning', 'azure']",['azure'],"['fine-tuning', 'rag']",['azure'],azure,knn_inference,llm_validated_with_rescue,ok,0.3333333333333333,True,1,0,2026-02,True,False,Unspecified,Senior
Agentic AI Engineer,AI Engineer,artificial intelligence engineer,Tata Consultancy Services,United States,Edison,Unspecified,Mid-level,Adzuna,57000.0,57000.0,57000.0,USD,2025-12-04,"• Contribute to the design, build, deployment, and optimization of AI/GenAI/Agentic AI solutions for customers as well as internal TCS AI and Data business platforms. • Design, train, and optimize machine learning models for classification, regression, NLP, or computer vision tasks. • Write clean, efficient, and well-documented Python code for data preprocessing, model training, and deployment. • Work with large datasets: clean, transform, and analyze structured and unstructured data. • Collabo…",True,"['computer vision', 'nlp', 'python']","['computer vision', 'nlp', 'python']",[],[],"['computer vision', 'nlp', 'python']","computer vision, nlp, python",original,original,not_validated,0.0,True,3,3,2025-12,True,True,Unspecified,Mid-level
Agentic AI Engineer,AI Engineer,artificial intelligence engineer,Tata Consultancy Services,United States,Santa Clara,Unspecified,Mid-level,Adzuna,62000.0,62000.0,62000.0,USD,2025-12-04,"• Contribute to the design, build, deployment, and optimization of AI/GenAI/Agentic AI solutions for customers as well as internal TCS AI and Data business platforms. • Design, train, and optimize machine learning models for classification, regression, NLP, or computer vision tasks. • Write clean, efficient, and well-documented Python code for data preprocessing, model training, and deployment. • Work with large datasets: clean, transform, and analyze structured and unstructured data. • Collabo…",True,"['computer vision', 'nlp', 'python']","['computer vision', 'nlp', 'python']",[],[],"['computer vision', 'nlp', 'python']","computer vision, nlp, python",original,original,not_validated,0.0,True,3,3,2025-12,True,True,Unspecified,Mid-level
Agentic AI Engineer,AI Engineer,artificial intelligence engineer,Tata Consultancy Services,United States,Atlanta,Unspecified,Mid-level,Adzuna,52000.0,52000.0,52000.0,USD,2025-12-04,"• Contribute to the design, build, deployment, and optimization of AI/GenAI/Agentic AI solutions for customers as well as internal TCS AI and Data business platforms. • Design, train, and optimize machine learning models for classification, regression, NLP, or computer vision tasks. • Write clean, efficient, and well-documented Python code for data preprocessing, model training, and deployment. • Work with large datasets: clean, transform, and analyze structured and unstructured data. • Collabo…",True,"['computer vision', 'nlp', 'python']","['computer vision', 'nlp', 'python']",[],[],"['computer vision', 'nlp', 'python']","computer vision, nlp, python",original,original,not_validated,0.0,True,3,3,2025-12,True,True,Unspecified,Mid-level
AI Engineer,AI Engineer,artificial intelligence engineer,Collabera,United States,North Carolina,Unspecified,Mid-level,Adzuna,79000.0,79000.0,79000.0,USD,2026-02-14,"Job Title: AI Engineer Location:Charlotte,NC (Local Only No relocation - In person Interview ) Work Arrangement: 3 day in office with 2 day WFH Client Industry: Banking Duration: 12 Months Contract MUST HAVES 3 year of AI development experience Ideally 7 years of software development prior to AI Python MS CoPilot PLUSSES Financial Industry experience LangChain or LangGraph Experience making a POC prototype Any AI Agent Compensation Hourly Rate: 60$-65$ per hour This range reflects base compensa…",True,"['langchain', 'python']","['langchain', 'python']",[],[],"['langchain', 'python']","langchain, python",original,original,not_validated,0.0,True,2,2,2026-02,True,True,Unspecified,Mid-level
Applied AI Engineer,AI Engineer,artificial intelligence engineer,CXG Holdings Inc,United States,Smithtown,Hybrid,Mid-level,Adzuna,75000.0,75000.0,75000.0,USD,2026-02-05,"Job Description Job Description Applied AI Engineer (Exploratory / Early Hire) Company: CXG Location: Smithtown, NY (Local / Hybrid preferred) Type: Full-time or Contract (open to discussion) Compensation: Flexible, based on scope and experience About CXG CXG builds and operates broker-dealers registered with FINRA and the SEC. We help financial firms launch faster, stay compliant, and operate efficiently in a highly regulated environment. We are exploring how AI can be responsibly integrated i…",True,[],"['transformers', 'python', 'aws', 'fine-tuning', 'nlp']","['transformers', 'python', 'aws', 'nlp']",['fine-tuning'],"['transformers', 'python', 'aws', 'nlp']","transformers, python, aws, nlp",knn_inference,llm_validated_with_rescue,ok,0.8,True,4,0,2026-02,True,False,Hybrid,Mid-level
