normalized_title,rows,avg_original_skills,avg_section9_skills,avg_llm_validated_skills,avg_recommended_skills
Data Engineer,116,0.21551724137931033,3.8017241379310347,2.586206896551724,3.5086206896551726
AI Engineer,1329,0.29721595184349137,3.8562829194883372,2.27163280662152,3.0790067720090293
MLOps Engineer,251,0.4103585657370518,4.247011952191235,1.99601593625498,3.039840637450199
LLM Engineer,396,0.2601010101010101,3.409090909090909,1.9343434343434343,2.9116161616161618
Solutions Architect,79,0.31645569620253167,4.443037974683544,2.2025316455696204,2.8860759493670884
Data Scientist,969,0.19401444788441694,3.565531475748194,2.2879256965944275,2.843137254901961
Machine Learning Engineer,822,0.15936739659367397,3.340632603406326,2.21654501216545,2.4671532846715327
DevOps Engineer,72,0.16666666666666666,2.263888888888889,0.8333333333333334,2.2083333333333335
Software Engineer,439,0.1958997722095672,2.838268792710706,1.6993166287015946,2.082004555808656
Research Scientist,382,0.10471204188481675,2.4162303664921465,1.7513089005235603,1.9973821989528795
Consultant,117,0.05982905982905983,1.829059829059829,1.2905982905982907,1.3846153846153846
NLP Engineer,114,0.9736842105263158,1.1929824561403508,0.21929824561403508,1.1929824561403508
Computer Vision Engineer,240,1.0375,1.1708333333333334,0.13333333333333333,1.1708333333333334
Product / Management,219,0.0547945205479452,1.3835616438356164,1.0319634703196348,1.1689497716894977
Platform Engineer,62,0.1774193548387097,1.1935483870967742,0.5967741935483871,1.064516129032258
Other,166,0.04819277108433735,0.04819277108433735,0.0,0.04819277108433735
