,job_title,count
0,Data Scientist,281
1,AI Engineer,270
2,Machine Learning Engineer (PhD Intern),173
3,Machine Learning Engineer,110
4,Senior Data Scientist,105
5,Generative AI Automation Engineer - Remote Job,98
6,Senior Machine Learning Engineer,71
7,ML/LLM Operations Engineer,53
8,AI Research Scientist - Language - MRS AI,49
9,Machine Learning Operations (MLOps) Intern,48
10,Senior AI Engineer,42
11,"AI Research Engineer (Junior career, Hybrid, Grand Prairie, Secret)",42
12,Computer Vision Engineer,41
13,Data Scientist (REMOTE),36
14,Data Scientist with Security Clearance,30
15,Senior SaaS Cloud Capacity Engineer,29
16,Lead AI Engineer,28
17,NLP Engineer,27
18,Berater für Digitale Transformation & KI (m/w/d) – Ideal für Quereinsteiger,26
19,"AI Research Software Engineer Senior (hybrid, Orlando, Secret)",25
