job_posting_id,job_title,job_title_original,company,country,city,city_clean,remote_type,experience_level,source,salary_min,salary_max,salary_avg,currency,posted_date,year,month,year_month,job_description,description_length,description_truncated,normalized_title,title_similarity,normalization_method,esco_occupation,required_skills,original_skills_list,has_original_skills,n_original_skills,inferred_skills_knn,completed_skills_list,skill_inference_method,has_section9_completed_skills,n_section9_completed_skills,needs_llm_validation,llm_status,llm_validated_skills_list,llm_removed_skills_list,llm_skill_reasons,llm_keep_rate,recommended_skills_list,recommended_skills,final_recommended_skills,recommended_skill_source,final_skill_source,has_recommended_skills,n_recommended_skills,n_final_recommended_skills,recommended_skills_text,salary_band
1,AI Engineer,AI Engineer,Jobot,United States,Mount Carmel,mount carmel,Unspecified,Lead,Adzuna,160000.0,160000.0,160000.0,USD,2026-02-16,2026.0,2.0,2026-02,"RAG - Vector Databases - Cloud - AI/ML This Jobot Job is hosted by: Chuck Wirtz Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $175,000 - $200,000 per year A bit about us: We are a rapidly-growing and well-funded women-lead AI start-up that innovates our client's projects from concept to delivery. Why join us? We work with highly recognizable enterprise clients to deliver a fully customized solution. Our technology solution is best-in-class and …",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,RAG,['rag'],True,1,[],['rag'],original,True,1,False,not_validated,[],[],{},0.0,['rag'],rag,rag,original,original,True,1,1,rag,High
2,AI Engineer,AI Engineer,Jobot,United States,The Gap,the gap,Unspecified,Lead,Adzuna,175000.0,175000.0,175000.0,USD,2026-02-16,2026.0,2.0,2026-02,"RAG - Vector Databases - Cloud - AI/ML This Jobot Job is hosted by: Chuck Wirtz Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $175,000 - $200,000 per year A bit about us: We are a rapidly-growing and well-funded women-lead AI start-up that innovates our client's projects from concept to delivery. Why join us? We work with highly recognizable enterprise clients to deliver a fully customized solution. Our technology solution is best-in-class and …",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,RAG,['rag'],True,1,[],['rag'],original,True,1,False,not_validated,[],[],{},0.0,['rag'],rag,rag,original,original,True,1,1,rag,Very High
3,AI Engineer,AI Engineer,Jobot,United States,Nashville,nashville,Unspecified,Lead,Adzuna,218000.0,218000.0,218000.0,USD,2026-02-16,2026.0,2.0,2026-02,"RAG - Vector Databases - Cloud - AI/ML This Jobot Job is hosted by: Chuck Wirtz Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $175,000 - $200,000 per year A bit about us: We are a rapidly-growing and well-funded women-lead AI start-up that innovates our client's projects from concept to delivery. Why join us? We work with highly recognizable enterprise clients to deliver a fully customized solution. Our technology solution is best-in-class and …",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,RAG,['rag'],True,1,[],['rag'],original,True,1,False,not_validated,[],[],{},0.0,['rag'],rag,rag,original,original,True,1,1,rag,Very High
4,Frontend/AI Engineer,Frontend/AI Engineer,Jobot,United States,New York City,new york city,Unspecified,Mid-level,Adzuna,112000.0,112000.0,112000.0,USD,2026-02-16,2026.0,2.0,2026-02,"Manufacturing Company looking for Business System Analyst This Jobot Job is hosted by: John Erwin Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $100,000 - $140,000 per year A bit about us: We are a Manufacturer of Electronic Components Why join us? Generous Compensation Great Benefits (Medical, Vision, Dental) Career Growth PTO Sick Pay Holidays Paid Job Details Job Details: We are seeking a dynamic and experienced Business System Analyst to jo…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['rag', 'aws', 'azure', 'computer vision', 'gcp', 'hadoop', 'nlp', 'python']","['rag', 'aws', 'azure', 'computer vision', 'gcp', 'hadoop', 'nlp', 'python']",knn_inference,True,8,True,ok,"['aws', 'azure', 'computer vision', 'nlp', 'python']","['gcp', 'hadoop', 'rag']",{},0.625,"['aws', 'azure', 'computer vision', 'nlp', 'python']","aws, azure, computer vision, nlp, python","aws, azure, computer vision, nlp, python",llm_validated_with_rescue,llm_validated_with_rescue,True,5,5,"aws, azure, computer vision, nlp, python",Medium
5,AI Engineering Lead,AI Engineering Lead,Jobot,United States,Irvine,irvine,Unspecified,Senior,Adzuna,92000.0,92000.0,92000.0,USD,2026-02-16,2026.0,2.0,2026-02,"Lead Financial Insights and Reporting as a Senior Accountant in a Dynamic Energy-Focused Environment This Jobot Job is hosted by: Emily Klopfenstein Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $80,000 - $110,000 per year A bit about us: Ready to bring your accounting expertise to a fast-paced team that's redefining energy solutions for communities? Our client is a mission-driven organization delivering sustainable, customized energy solutions…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['rag', 'fine-tuning', 'azure']","['rag', 'fine-tuning', 'azure']",knn_inference,True,3,True,ok,['azure'],"['fine-tuning', 'rag']",{},0.3333333333333333,['azure'],azure,azure,llm_validated_with_rescue,llm_validated_with_rescue,True,1,1,azure,Low
6,Agentic AI Engineer,Agentic AI Engineer,Tata Consultancy Services,United States,Edison,edison,Unspecified,Mid-level,Adzuna,57000.0,57000.0,57000.0,USD,2025-12-04,2025.0,12.0,2025-12,"• Contribute to the design, build, deployment, and optimization of AI/GenAI/Agentic AI solutions for customers as well as internal TCS AI and Data business platforms. • Design, train, and optimize machine learning models for classification, regression, NLP, or computer vision tasks. • Write clean, efficient, and well-documented Python code for data preprocessing, model training, and deployment. • Work with large datasets: clean, transform, and analyze structured and unstructured data. • Collabo…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,"Python, NLP, Computer Vision","['computer vision', 'nlp', 'python']",True,3,[],"['computer vision', 'nlp', 'python']",original,True,3,False,not_validated,[],[],{},0.0,"['computer vision', 'nlp', 'python']","computer vision, nlp, python","computer vision, nlp, python",original,original,True,3,3,"computer vision, nlp, python",Low
7,Agentic AI Engineer,Agentic AI Engineer,Tata Consultancy Services,United States,Santa Clara,santa clara,Unspecified,Mid-level,Adzuna,62000.0,62000.0,62000.0,USD,2025-12-04,2025.0,12.0,2025-12,"• Contribute to the design, build, deployment, and optimization of AI/GenAI/Agentic AI solutions for customers as well as internal TCS AI and Data business platforms. • Design, train, and optimize machine learning models for classification, regression, NLP, or computer vision tasks. • Write clean, efficient, and well-documented Python code for data preprocessing, model training, and deployment. • Work with large datasets: clean, transform, and analyze structured and unstructured data. • Collabo…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,"Python, NLP, Computer Vision","['computer vision', 'nlp', 'python']",True,3,[],"['computer vision', 'nlp', 'python']",original,True,3,False,not_validated,[],[],{},0.0,"['computer vision', 'nlp', 'python']","computer vision, nlp, python","computer vision, nlp, python",original,original,True,3,3,"computer vision, nlp, python",Low
8,Agentic AI Engineer,Agentic AI Engineer,Tata Consultancy Services,United States,Atlanta,atlanta,Unspecified,Mid-level,Adzuna,52000.0,52000.0,52000.0,USD,2025-12-04,2025.0,12.0,2025-12,"• Contribute to the design, build, deployment, and optimization of AI/GenAI/Agentic AI solutions for customers as well as internal TCS AI and Data business platforms. • Design, train, and optimize machine learning models for classification, regression, NLP, or computer vision tasks. • Write clean, efficient, and well-documented Python code for data preprocessing, model training, and deployment. • Work with large datasets: clean, transform, and analyze structured and unstructured data. • Collabo…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,"Python, NLP, Computer Vision","['computer vision', 'nlp', 'python']",True,3,[],"['computer vision', 'nlp', 'python']",original,True,3,False,not_validated,[],[],{},0.0,"['computer vision', 'nlp', 'python']","computer vision, nlp, python","computer vision, nlp, python",original,original,True,3,3,"computer vision, nlp, python",Low
9,AI Engineer,AI Engineer,Collabera,United States,North Carolina,north carolina,Unspecified,Mid-level,Adzuna,79000.0,79000.0,79000.0,USD,2026-02-14,2026.0,2.0,2026-02,"Job Title: AI Engineer Location:Charlotte,NC (Local Only No relocation - In person Interview ) Work Arrangement: 3 day in office with 2 day WFH Client Industry: Banking Duration: 12 Months Contract MUST HAVES 3 year of AI development experience Ideally 7 years of software development prior to AI Python MS CoPilot PLUSSES Financial Industry experience LangChain or LangGraph Experience making a POC prototype Any AI Agent Compensation Hourly Rate: 60$-65$ per hour This range reflects base compensa…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,"Python, LangChain","['langchain', 'python']",True,2,[],"['langchain', 'python']",original,True,2,False,not_validated,[],[],{},0.0,"['langchain', 'python']","langchain, python","langchain, python",original,original,True,2,2,"langchain, python",Low
10,Applied AI Engineer,Applied AI Engineer,CXG Holdings Inc,United States,Smithtown,smithtown,Hybrid,Mid-level,Adzuna,75000.0,75000.0,75000.0,USD,2026-02-05,2026.0,2.0,2026-02,"Job Description Job Description Applied AI Engineer (Exploratory / Early Hire) Company: CXG Location: Smithtown, NY (Local / Hybrid preferred) Type: Full-time or Contract (open to discussion) Compensation: Flexible, based on scope and experience About CXG CXG builds and operates broker-dealers registered with FINRA and the SEC. We help financial firms launch faster, stay compliant, and operate efficiently in a highly regulated environment. We are exploring how AI can be responsibly integrated i…",500,True,AI Engineer,1.0,rule,artificial intelligence engineer,,[],False,0,"['transformers', 'python', 'aws', 'fine-tuning', 'nlp']","['transformers', 'python', 'aws', 'fine-tuning', 'nlp']",knn_inference,True,5,True,ok,"['transformers', 'python', 'aws', 'nlp']",['fine-tuning'],{},0.8,"['transformers', 'python', 'aws', 'nlp']","transformers, python, aws, nlp","transformers, python, aws, nlp",llm_validated_with_rescue,llm_validated_with_rescue,True,4,4,"transformers, python, aws, nlp",Low
